"","Treat","Year","NMDS1.x","NMDS2.x","NMDS1.y","NMDS2.y"
"1","C->R->P","2017",-0.168925634712362,0.0675617657432015,0.0119085797255019,0.0177889894903111
"2","C->R->P","2018",0.1002739653491,-0.0557843433736662,0.0765407314049775,0.10702169713487
"3","C->R->P","2019",-0.0213373862541631,-0.0351439081611263,0.0817921883290382,0.182830050546397
"4","Control","2017",-0.18703353640405,0.065095018912352,0.00995970368373067,0.0152090593482489
"5","Control","2018",-0.0238069133572221,-0.112707605534601,0.0808249505832727,0.175733701867042
"6","Control","2019",0.138265455402851,0.0401942003689206,0.563854542474996,0.059102756351567
"7","CR->P","2017",-0.182132037519022,0.046462172807995,0.0147054992288051,0.0442741756810964
"8","CR->P","2018",-0.0624268461062574,-0.056452269605021,0.140542171497543,0.186090720543655
"9","CR->P","2019",-0.0731988515302546,0.00700306767972055,0.0761909787806957,0.186112705070381
"10","CRP","2017",-0.140460755870016,0.0568995024511179,0.0618719840182949,0.0219566051891155
"11","CRP","2018",0.302283388853116,-9.337472698972e-05,0.561000316156409,0.112955159871317
"12","CRP","2019",0.318499152148281,-0.0230342265619034,0.579995362009853,0.198045151950505
