"","NMDS1","NMDS2","Genus","species"
"Acalypha sp.",-0.444187287827959,-0.169618284593976,"Acalypha","sp"
"Allium vineale",-0.122890368912687,-0.0201952272363241,"Allium","vineale"
"Andropogon virginicus",-0.0882301087376276,0.0306010418786688,"Andropogon","virginicus"
"Anthoxanthum odoratum",-0.0730289520379256,-0.0873498726759474,"Anthoxanthum","odoratum"
"Apocynum cannibinum",-0.265432683681054,0.58758774350187,"Apocynum","cannibinum"
"Celtis laevigata",0.0512178773684013,0.0711680703210848,"Celtis","laevigata"
"Conyza canadensis",-0.469221832848435,-0.230059650442895,"Conyza","canadensis"
"Cynodon dactylon",-0.122039884497211,0.147424389485773,"Cynodon","dactylon"
"Daucus carota",-0.37135268721381,0.488126100703299,"Daucus","carota"
"Desmodium sp.",0.00687406465133126,0.067310968694581,"Desmodium","sp"
"Digitaria sanguinalis",-0.495926095520626,-0.206643370300576,"Digitaria","sanguinalis"
"Eragrostis capillaris",-0.163777206912243,-0.0918011898825704,"Eragrostis","capillaris"
"Fraxinus sp.",-0.0867940950498263,-0.380175362018775,"Fraxinus","sp"
"Holcus lanatus",-0.167191954460709,0.138625518285812,"Holcus","lanatus"
"Houstonia sp.",-0.250062195285186,0.25294903913499,"Houstonia","sp"
"Ipomea sp.",-0.499360266477741,-0.12954105114719,"Ipomea","sp"
"Juncus sp.",-0.215467655605518,0.849128085947288,"Juncus","sp"
"Juniperus virginiana",-0.14767847670124,-0.0445010849987538,"Juniperus","virginiana"
"Lespedeza cuneata",-0.182888763717669,-0.406298017971558,"Lespedeza","cuneata"
"Lonicera japonica",-0.41587394111073,-0.000497407326310168,"Lonicera","japonica"
"Oxalis dillenii",-0.2531261970552,-0.0872592656309305,"Oxalis","dillenii"
"Parthenocissus quinquefolia",-0.121926109238138,0.172754489460304,"Parthenocissus","quinquefolia"
"Paspalum dilatatum",-0.102522528893082,-0.0654902236947779,"Paspalum","dilatatum"
"Paspalum notatum",-0.130001422389034,-0.0804538256836859,"Paspalum","notatum"
"Pinus taeda",-0.177813120051865,-0.00865508073965962,"Pinus","taeda"
"Plantago aristata",-0.239887448371975,-0.0505717305365077,"Plantago","aristata"
"Plantago lanceolata",-0.161833429535361,0.0154581813348813,"Plantago","lanceolata"
"Poa pratensis",0.00516670699020134,-0.0574345756646339,"Poa","pratensis"
"Ranunculus sp.",0.00102093096670907,0.0614135721052963,"Ranunculus","sp"
"Rosa multiflora",0.522450239879038,1.0542089208368,"Rosa","multiflora"
"Rubus argutus",-0.154282936756821,1.2133673149681,"Rubus","argutus"
"Schedonorus_arundinaceus",-0.0938398132063644,-0.0263383900919262,"Schedonorus","arundinaceus"
"Setaria parviflora",-0.197638965938496,-0.106607284186657,"Setaria","parviflora"
"Solanum carolinense",-0.133478572954605,0.0669800084922497,"Solanum","carolinense"
"Sorghum halepense",-0.124014052696012,-0.00424044150066714,"Sorghum","halepense"
"Steinchisma hians",0.0400120968705891,-0.20994306119864,"Steinchisma","hians"
"Toxicodendron radicans",0.0211097575509955,-0.160566130932559,"Toxicodendron","radicans"
"Tridens flavus",0.104281590097105,0.315240010039484,"Tridens","flavus"
"Tripsacum dactyloides",3.18217297681035,-0.0330993922407673,"Tripsacum","dactyloides"
"UNK Aster 1",-0.0781652332901053,-0.139843857961592,"UNK","Aster"
"Verbesina occidentalis",0.126744328241493,-0.267954120558173,"Verbesina","occidentalis"
"Vetch",-0.0542670472291492,0.0250090104519703,"Vetch",NA
"Vitis sp.",-0.272704789184074,-0.163342289503476,"Vitis","sp"
